"volume","interment id","message"
"01","14","Unable geocode residence place: Steamer Gt Western United States"
"01","711","Unable geocode residence place: 136 Sands   United States"
"01","788","Unable geocode residence place: 254 Gold   United States"
"01","803","Unable geocode residence place: 91 Gold   United States"
"01","806","Unable geocode residence place: 3 Grand   United States"
"01","816","Unable geocode residence place: 2 Kelsey'S Alley   United States"
"01","822","Unable geocode residence place: 9 Doughty   United States"
"01","988","Unable geocode residence place: 195 Henry   United States"
"01","1676","Unable geocode residence place: Keepers Lodge Greenwood  United States"
"01","1800","Unable geocode residence place: 16 Monroe  New York United States"
"01","2094","Has an infant name but is missing last name"
"01","2134","Unable geocode residence place: 1 Morris  New York United States"
"01","2241","Has an infant name but is missing last name"
"01","5087","Unable geocode residence place: 75 Cranberry"
"01","5362","Unable geocode birth place: Umered From Wallabont"
"01","7137","Unable geocode residence place: President Brooklyn  United States"
"01","7710","Unable geocode residence place: President Brooklyn  United States"
"01","8084","Unable geocode residence place: President Brooklyn  United States"
"01","9005","Unable geocode residence place: President Brooklyn  United States"
"01","9187","Unable geocode birth place: Battinore"
"01","9684","Unable geocode residence place: Isyburns L J   United States"
"01","9787","Unable to parse death date: 17 My 1849 "
"01","9871","Unable to parse death date: 21st Janyuary 1838 "
