"volume","interment id","message"
"10","78653","Unable to parse death date: September 31, 1860"
"10","78662","Unable to parse death date: Septebmer 1, 1860"
"10","78665","Unable to parse death date: Septebmer 1, 1860"
"10","78666","Unable to parse death date: Septebmer 31, 1860"
"10","78667","Unable to parse death date: Septebmer 31, 1860"
"10","78668","Unable to parse death date: Septebmer 1, 1860"
"10","78672","Unable to parse death date: Septebmer 2, 1860"
"10","78674","Unable to parse death date: Septebmer 1, 1860"
"10","78675","Unable to parse death date: Septebmer 1, 1860"
"10","78676","Unable to parse death date: Septebmer 1, 1860"
"10","78678","Unable to parse death date: Septebmer 2, 1860"
"10","78679","Unable to parse death date: Septebmer 2, 1860"
"10","78680","Unable to parse death date: Septebmer 2, 1860"
"10","78681","Unable to parse death date: Septebmer 1, 1860"
"10","78682","Unable to parse death date: Septebmer 1, 1860"
"10","78683","Unable to parse death date: Septebmer 2, 1860"
"10","78684","Unable to parse death date: Septebmer 2, 1860"
"10","78685","Unable to parse death date: Septebmer 3, 1860"
"10","78686","Unable to parse death date: Septebmer 2, 1860"
"10","78687","Unable to parse death date: Septebmer 2, 1860"
"10","78688","Unable to parse death date: Septebmer 2, 1860"
"10","78689","Unable to parse death date: Septebmer 2, 1860"
"10","78690","Unable to parse death date: Septebmer 2, 1860"
"10","78691","Unable to parse death date: Septebmer 2, 1860"
"10","78692","Unable to parse death date: Septebmer 1, 1860"
"10","78693","Unable to parse death date: Septebmer 2, 1860"
"10","78694","Unable to parse death date: Septebmer 1, 1860"
"10","78695","Unable to parse death date: Septebmer 2, 1860"
"10","78696","Unable to parse death date: Septebmer 2, 1860"
"10","78697","Unable to parse death date: Septebmer 2, 1860"
"10","78699","Unable to parse death date: Septebmer 2, 1860"
"10","78700","Unable to parse death date: Septebmer 1, 1860"
"10","78701","Unable to parse death date: Septebmer 3, 1860"
"10","78702","Unable to parse death date: Septebmer 4, 1860"
"10","78703","Unable to parse death date: Septebmer 3, 1860"
"10","78704","Unable to parse death date: Septebmer 3, 1860"
"10","78705","Unable to parse death date: Septebmer 3, 1860"
"10","78706","Unable to parse death date: Septebmer 3, 1860"
"10","78707","Unable to parse death date: Septebmer 2, 1860"
"10","78708","Unable to parse death date: Septebmer 1, 1860"
"10","78709","Unable to parse death date: Septebmer 3, 1860"
"10","78710","Unable to parse death date: Septebmer 3, 1860"
"10","78711","Unable to parse death date: Septebmer 2, 1860"
"10","78712","Unable to parse death date: Septebmer 3, 1860"
"10","78713","Unable to parse death date: Septebmer 3, 1860"
"10","78714","Unable to parse death date: Septebmer 3, 1860"
"10","78715","Unable to parse death date: Septebmer 2, 1860"
"10","78716","Unable to parse death date: Septebmer 3, 1860"
"10","78717","Unable to parse death date: Septebmer 1, 1860"
"10","78718","Unable to parse death date: Septebmer 2, 1860"
"10","78719","Unable to parse death date: Septebmer 3, 1860"
"10","79026","Unable geocode residence place: 79 Columbia  New York United States"
"10","79469","Unable geocode residence place: 305 E B Way   France"
"10","79822","Unable to parse interment date: Octoter 30, 1860"
"10","79823","Unable to parse interment date: Octoter 30, 1860"
"10","79824","Unable to parse interment date: Octoter 30, 1860"
"10","79825","Unable to parse interment date: Octoter 30, 1860"
